Date,S&P 500,S&P 500 Minimum Volatility,MSCI ACWI,MSCI World,MSCI Europe,MSCI Emerging Markets,MSCI USA Small Cap Value Weighted,MSCI Europe Small Cap Value Weighted,FTSE World Government Bond - Developed Markets
05/1992,10122.864970710893,,14241.92158597267,63989.90289721302,70640.33285484796,39478.46111681542,,,14345.857836365789
06/1992,9686.87752644206,,13341.067346938777,60057.13906322283,67340.07189686131,34544.52682215744,,,14033.577376958598
07/1992,9602.987256402665,,12747.021001096093,57327.54118401762,61845.26526639845,33258.98393861892,,,13987.616923866282
08/1992,9169.25525665484,,12704.204986110122,57222.52105247568,60089.228159039856,30908.605057340268,,,13748.776492876032
09/1992,9491.321882692582,,12886.939833843464,57988.96907079799,60460.60367143444,31731.274420638383,,,14481.33164936654
10/1992,9920.291927926208,,13094.69039016244,58745.71348590757,58581.55006562106,34819.055305905575,,,15305.235426451434
11/1992,10930.112146862435,,14184.781931413783,63694.45082345413,62388.92605191992,36700.48912973148,,,15599.113944034416
12/1992,11057.097711728504,,14309.69796314258,64147.67490780602,63778.89559549736,37754.88433559651,,,16020.681217192248
01/1993,11367.305059451082,,14640.787490729292,65599.61932989054,65133.74157914388,38678.38220024722,,,16220.803567904646
02/1993,11809.294458555614,,15358.471875000005,68806.64596649997,67520.35010337614,40306.8375,,,17023.90772388207
03/1993,12117.829643162962,,16320.996452215244,73133.88249791604,71343.29392575586,41844.76530300458,,,16876.248174606306
04/1993,11422.597380087656,,16481.739034188737,73900.18254079277,70435.81336003737,41350.5787324752,,,16846.370919998422
05/1993,11757.08239924232,,16910.515640667385,75770.08643780077,71369.11819576763,42607.48547711023,,,17058.165923353197
06/1993,12135.607846862778,,17291.088377601085,77307.02050765016,72378.8229585747,45151.18888512942,,,18247.158306034653
07/1993,12599.43598874043,,18398.230914381445,82225.0945110299,75707.55934628868,48309.35912177056,,,19256.808225125314
08/1993,13177.410406297258,,19417.903100844072,86630.80170810358,82980.21565546282,52788.82278098624,,,18990.06393811422
09/1993,12556.483718152682,,18333.239570002563,81629.71661846779,79433.5893204196,52544.058919887386,,,18757.12396889924
10/1993,12966.66817947186,,19097.76414328873,84843.95986388587,83714.13222506078,57930.634596460935,,,19132.227572325057
11/1993,13187.99310195585,,18591.24064882113,82173.80111756884,84106.84797888553,62118.89202269101,,,19351.76816513399
12/1993,13341.53504260749,,19588.08257287144,86136.48090141875,90381.36168465104,72354.82533888545,,,19595.167146860324
01/1994,13982.159821309691,,21170.337446120688,93042.30076492437,96272.04916057148,74670.19040948278,,,19759.62031811185
02/1994,13550.3438992548,,20784.073316039005,91464.5108432438,92505.45535715872,73059.72934967352,,,19310.20839089079
03/1994,12691.652797918045,,19439.825282523,85691.7686082059,88028.86984524073,65074.81624178713,,,18916.96925445001
04/1994,12891.672761664764,,20026.3836056932,88576.7385285946,91939.83730525758,63958.06541908276,,,18779.30496901764
