,Date,S&P 500,S&P 500 Minimum Volatility,MSCI ACWI,MSCI WORLD,MSCI World,MSCI Europe,MSCI Emerging Markets,MSCI USA Small Cap Value Weighted,MSCI Europe Small Cap Value Weighted,FTSE World Government Bond Developed Markets,FTSE World Government Bond G7,Gold spot
311,1994-01,13982.159821309691,19861.376691875103,186.30723358145232,1498.6607675218968,106578.15235262435,110985.93490460727,74670.19040948278,,,19759.62031811185,19758.124481033177,20680.82111115349
312,1994-02,13550.3438992548,19303.65018743144,183.6144563775017,1479.5081928970085,104811.3621572416,106673.5571793581,73059.72934967352,,,19310.20839089079,19307.271748284573,20800.252646594792
313,1994-03,12691.652797918045,18197.98143761163,175.36395058394166,1415.972146277769,98236.47112910658,101542.13199644184,65074.81624178713,,,18916.96925445001,18887.07873700487,20778.635470328976
314,1994-04,12891.672761664764,18320.479986951395,180.13330784245275,1459.993451389427,101584.20726537876,106084.74157799636,63958.06541908276,,,18779.30496901764,18740.20003274052,20156.2078689687
315,1994-05,12821.613417789253,18498.366438567773,181.1946266641452,1464.001410458832,99673.79257367144,99423.10918406089,64725.34054332874,,,18514.5044796148,18480.05096476055,20307.17368017432
316,1994-06,12304.236876536706,17955.95426630082,180.3147436960536,1460.1934090075274,97800.22291300776,96813.47339401708,61919.19834235453,,,18298.8120140506,18252.79034036334,20010.924421006624
317,1994-07,12316.604873200962,18014.070198994923,184.305628853711,1488.2117549421623,96604.85989212306,98778.19243627024,63742.24313114755,,,18394.008761889727,18338.773650587653,19181.894675758016
318,1994-08,12836.31017355328,19031.17737438688,190.8713198353851,1533.288379400317,99645.24206933702,102059.48481411125,71735.80221565731,,,18256.107668626908,18214.034243427734,19291.44989390117
319,1994-09,12388.229940679188,18456.67098727836,186.3890307141357,1493.2676945959213,96004.4938481528,96993.87045939318,71773.59483682415,,,18058.461933141258,17997.63124313386,19534.93861777929
320,1994-10,12424.473496473596,18131.780604691987,191.16590060453336,1536.0166227108164,96865.59425846236,99316.98580641548,69131.97204968944,,,17882.18810435332,17773.743286714252,18627.78319218296
321,1994-11,12150.00857940921,17350.552794754105,182.86403268660865,1469.6698792765635,94059.72853580532,96964.20345827992,66512.037837401,,,18353.25808106721,18263.44087081893,18867.83843085201
322,1994-12,12582.41501311178,18000.994022445815,183.50194114099256,1484.1771433107908,96930.87581202372,99542.0611185218,62421.077931716965,10405.099244598385,10302.615258123044,18232.979437186725,18134.244019431306,19223.567365669325
323,1995-01,12644.893742612509,18064.36320193495,179.76809824112755,1462.1695400088336,93541.92643345262,96777.02033013386,54639.949511269086,10164.392842717509,10035.62487438404,18319.48336424991,18220.148436837422,18456.52714738849
324,1995-02,12993.880712335687,18787.507850967544,181.68801112473207,1483.7711054814006,93884.80913870312,97920.54825997606,52655.84582933845,10499.145223713647,10026.785866091404,18451.24718790701,18315.539715630835,18327.53968725341
325,1995-03,12857.48428695583,18708.823667565182,190.0095322167954,1555.590242060509,94604.42603758276,98519.13236246035,50931.329672861306,10216.284937797574,9880.793888803566,18615.74969412322,18480.405982442404,18345.454866712967
326,1995-04,12982.853312539622,18651.07819201307,196.92082122438225,1610.110593318307,96046.7285351368,99760.22726559982,52198.03594456163,10267.996649593251,9847.927497740286,19048.70347712831,18919.10922118982,17891.180138755946
327,1995-05,13710.366892566946,19475.722613286514,199.0954550762272,1624.1924025055437,98383.64077157284,103411.83755228826,55824.32987608996,10650.536711029526,10244.08952118709,19884.822591467026,19788.30098399068,17913.5645156705
328,1995-06,13911.774039246971,19433.526094744266,199.13853533065128,1624.0074930383855,97551.66944522492,103552.68673068708,55522.30439927184,10993.703951759711,10263.455870752428,19649.5737459052,19544.157296500904,17891.22122417089
329,1995-07,14206.113189136824,19739.02098054576,208.7737161457028,1705.582123275923,101261.26186094568,107721.3793394463,56108.94971137266,11438.66326411275,10505.74770972337,19486.38354974938,19299.60928331792,17514.280601098515
