Date,MSCI Europe Small Cap Value Weighted,MSCI USA Small Cap Value Weighted,MSCI Europe,MSCI World Momentum,MSCI ACWI,MSCI World,S&P 500 Minimum Volatility,MSCI Emerging Markets,FTSE World Government Bond - Developed Markets,S&P 500,MSCI USA Small Cap Value Weighted
03/1989,,,54698.55957846323,,14380.523217321284,66917.03851528569,,18582.71090632549,11949.99407980424,,
04/1989,,,56530.32122159427,,14824.704615384617,68825.34672955025,,22232.78769230769,12029.295102024707,,
05/1989,,,55940.88144218295,,15097.170723468142,70004.83492356459,,23500.9133339589,12403.342937206457,,
06/1989,,,59298.22305090406,,15156.392567825756,70445.63352546077,,21022.22510508216,12541.165094525792,,
07/1989,,,63389.825880458106,,16134.110132480584,74970.4207865175,,21428.55760621288,12480.06867427083,,
08/1989,,,63567.723885904525,,15999.009408053438,74270.95275118499,,22265.66281313787,12709.328255120969,,
09/1989,,,65653.79553808285,,16736.539218087608,77521.37812350164,,25457.010833725857,12417.62047598374,,
10/1989,,,59041.45726753303,,15588.74137805984,72097.89512547171,,24842.337388939257,12366.696925445,,
11/1989,,,61427.22353022555,,15970.501447721184,73885.3454107418,,23345.781876675603,12172.0902237834,,
12/1989,,,65239.720961245344,,15816.957840616966,73105.46300158801,,25118.13578406169,11782.7090815803,,
01/1990,,,63159.84906449596,,14648.831209449345,67633.18425111714,,25185.059790384297,11466.767967794136,,
02/1990,,,60831.7210536139,,13848.459492735785,63859.5785151099,,25826.91475006156,11381.773690650038,,
03/1990,,,62772.4279018528,,13221.54347281383,61036.85056307657,,22724.356101227764,11229.743063503967,,
04/1990,,,60323.63148532232,,12888.758410290236,59369.44607056526,,24052.30334762533,11101.53135730355,,
05/1990,,,64171.30012148615,,14003.356298158811,64532.83963037877,,25603.59185659826,11542.112325847576,,
06/1990,,,66875.36243377339,,14003.615335619794,64488.22911444809,,26667.845173934344,11474.33595137546,,
07/1990,,,67591.6347384438,,13718.972344975053,63093.46313607065,,28143.650463292943,11279.877254607884,,
08/1990,,,58208.98708539693,,11882.573531193217,54653.87627339092,,23473.035872198667,11075.541697912144,,
09/1990,,,51439.34226958088,,10658.782997118156,48953.84082920841,,20509.82507204611,11211.775269368907,,
10/1990,,,54141.38822190316,,11298.61351590106,51937.2877574192,,19539.270185512363,11245.845995974269,,
11/1990,,,53602.00342675956,,10889.580588829558,50056.30844556919,,18153.440453167845,11425.642341240084,,
12/1990,,,53451.246871877294,,11256.10995911215,51690.661555202656,,19144.44134053738,11480.887634684454,,
01/1991,,,55387.299789437326,,11701.476679841897,53696.03839975514,,20743.68682476944,11608.694794174527,,
02/1991,,,59231.51620444296,,12589.058648240123,57673.206652070745,,23416.594515223493,12000.18747286577,,
03/1991,,,60148.14151046674,,13320.208712002508,60905.15711383389,,26535.330930742715,12925.218060543866,,
04/1991,,,62688.540229800245,,14148.504439676512,64633.60909897523,,28244.275177422016,13165.331333622766,,
05/1991,,,65402.94486079645,,14680.777571500252,66962.4109913219,,30867.908128449577,13399.297470103014,,
06/1991,,,62146.65199696361,,14299.854233171409,65151.1265046928,,30875.518511450384,13771.539645577614,,
07/1991,,,66539.43312540004,,15000.589941804918,68295.93781870553,,32518.570798228087,13576.952677901883,,
08/1991,,,66262.4383902958,,14640.996177370032,66560.46510562068,,32473.225382263,13869.51888542448,,
09/1991,,,66366.33300448059,,14599.65963984801,66401.3431823617,,30366.8823062944,13757.301574772073,,
10/1991,,,64885.52762876233,,14834.15830721003,67368.85198393356,,31564.3288401254,13973.822867742829,,
11/1991,,,60990.63693543817,,13664.87302469626,62003.58083032291,,29932.29190820297,13858.45798634408,,
12/1991,,,63668.19988866337,,14213.518422266648,64385.65318801702,,32238.122758726746,13689.28839246951,,
01/1992,,,64097.98282893333,,14099.681533101044,63619.82764051358,,36223.65491289199,14134.427911749612,,
02/1992,,,65768.57251824846,,14193.2896011396,63883.08438209057,,38668.3047008547,14314.99388246438,10000.0,
03/1992,,,65162.33029332427,,13924.026879011944,62480.97344079284,,41045.35217355976,14220.11287839918,10067.64061302436,
04/1992,,,68137.77784439558,,13983.490232707947,62760.410692048805,,40392.63990659473,14291.68804515136,10269.780740213888,
05/1992,,,70640.33285484796,,14241.92158597267,63989.90289721302,,39478.46111681542,14345.857836365789,10122.864970710893,
06/1992,,,67340.07189686131,,13341.067346938777,60057.13906322283,,34544.52682215744,14033.577376958598,9686.87752644206,
07/1992,,,61845.26526639845,,12747.021001096093,57327.54118401762,,33258.98393861892,13987.616923866282,9602.987256402665,
